,index,0,stand_agresti,stand_sas,stand_long,stand_menard
0,2_epiteller,0.83631697025554,1.0981097906767165,0.6054196579456494,0.39025873864164784,2.7279927032961186
1,4_geslacht,3.5514434671916013,1.7694153021896404,0.9755297840986308,0.6288349214519035,4.395691646187035
2,4_leeftijd,0.16437521530750665,3.0013845457958084,1.65475002636964,1.0666661539361895,7.456226335684476
3,2_epiteller 4_geslacht,0.3171384537909726,0.818309445830012,0.4511576428826793,0.290820111849985,2.0328952680468038
4,2_epiteller 2_n-prescripties,-0.8875054033370342,-3.738441592817122,-2.0611108739667485,-1.3286098647742597,-9.287269336355685
5,2_epiteller 1_presteller,0.7895352638892493,1.9866396403884503,1.0952918385365105,0.7060345757555884,4.935333870139429
6,2_epiteller 4_leeftijd,0.0027577800798327923,0.27183717551159364,0.14987168970938675,0.09660858516313396,0.675314834251006
7,4_geslacht 2_n-prescripties,-2.377012540352521,-5.708241202235667,-3.1471183168297525,-2.028659638918206,-14.180768153206976
8,4_geslacht 1_presteller,2.426344768423141,4.006495933849857,2.208896977721343,1.4238740632242037,9.953186617699213
9,4_geslacht 4_leeftijd,0.004814682080045291,0.19782370093615467,0.10906592252538108,0.07030483532360626,0.4914459531048293
10,2_n-prescripties 1_presteller,0.024895212333250562,0.14661437488570533,0.08083274135869245,0.052105482981231244,0.36422855736496657
11,2_n-prescripties 4_leeftijd,-0.2788308902167566,-26.29048336776608,-14.494703155255468,-9.343410799625756,-65.31245545966384
12,1_presteller 4_leeftijd,0.22812575245364247,14.792070410697516,8.155295840531235,5.256974110776094,36.7473821740153
13,6_u70en71 4_leeftijd,-0.002277012489979392,-0.022746629062673284,-0.012540873875692894,-0.008083955576862473,-0.05650859197723376
14,6_u71 4_leeftijd,0.0019728417436689558,0.06360791252652986,0.03506888015333768,0.022605702927877697,0.1580187361204906
15,2_urineweg_2 4_leeftijd,0.002347712715933739,0.04369421003751076,0.024089880556308587,0.01552854499610076,0.10854787669743046
16,3_diabetes_2 4_leeftijd,-2.7471863862182862e-05,-0.0008197204401143445,-0.0004519355648029068,-0.00029132156703626,-0.0020364005478874284
17,2_urethritis 4_leeftijd,0.00856054203111577,0.04047770493456109,0.02231652835078079,0.014385426853480435,0.10055723448163341
18,2_urineweg_b_a 4_leeftijd,0.0029072126835245397,0.09069263000244482,0.05000146752214518,0.032231377672205505,0.22530427739555714
19,3_diabetes_a 4_leeftijd,-0.0009767093014062416,-0.029143584229631585,-0.01606770010195474,-0.010357378212558905,-0.07240030623653425
20,3_diabetes_b_a 4_leeftijd,-0.0010123404875885052,-0.030206766974189656,-0.01665386347014345,-0.010735224180566442,-0.07504153099752778
21,4_leeftijd 1_succes_vorige_CFC,-0.0020368251367836867,-0.05580429196070832,-0.03076651864649251,-0.019832363554426913,-0.138632496107337
22,4_leeftijd 1_winter,0.10565092834246441,2.7297509881121544,1.5049905970524196,0.9701299327910903,6.781417341517582
23,4_leeftijd 1_lente,0.10719967259970582,3.109603051286661,1.714414015466109,1.1051260764404027,7.725069484017327
24,4_leeftijd 1_zomer,0.10700322720382865,3.1988352086391627,1.7636102822153672,1.1368384147423862,7.946745564336203
25,4_leeftijd 1_herfst,0.10521656122727088,3.077152676915512,1.6965231864080397,1.0935934935620282,7.644454243851616
26,4_leeftijd 2_aug_binnen_epi_laatst,0.0023831147974412836,0.035552289982062925,0.019601004765525995,0.01263497690487913,0.0883212120317832
27,4_leeftijd 2_ntf_binnen_epi,0.03381270521441154,1.0352323509630494,0.570753508561363,0.36791263944463587,2.5717886532119105
28,4_leeftijd 2_aug_binnen_epi,0.04956550156154687,1.046427359160846,0.5769256400652921,0.37189124870160517,2.599599989506534
29,4_leeftijd 2_cfc_binnen_epi,0.0457705359903858,1.483805104535604,0.8180646293048313,0.5273315231341752,3.686161012909443
30,4_leeftijd 2_cmz_binnen_epi,0.0424890181591196,0.5531725221007148,0.3049799955874739,0.19659273832100746,1.3742256163882298
31,4_leeftijd 2_tmp_binnen_epi,0.030669628030645955,0.42954703794569926,0.23682169396230496,0.15265730862178992,1.0671074925178468
32,4_leeftijd 2_fmc_binnen_epi,0.03905269757938569,0.6081714330851815,0.3353024844299414,0.21613887643005308,1.5108573349365155
33,4_leeftijd 2_nfc_binnen_epi,0.026093531142812765,0.20655982870823905,0.11388240220022801,0.07340957970699336,0.5131487855717196
34,4_leeftijd 2_amo_binnen_epi,0.015875996284895222,0.1354724038793077,0.07468985079091361,0.04814572268416758,0.3365489793629724
35,4_leeftijd 2_ntf_binnen_epi_b,0.01767194983825611,0.43815075074644977,0.24156516943726908,0.15571499386762194,1.0884813714696397
36,4_leeftijd 2_aug_binnen_epi_b,0.006727286123111794,0.1137187250041528,0.06269641904531409,0.040414653030921274,0.28250713605630406
37,4_leeftijd 2_cfc_binnen_epi_b,0.004189997772993264,0.08846022617438226,0.04877067878548407,0.03143800062605278,0.21975840083069015
38,4_leeftijd 2_nitriet,0.011877816354626234,0.2643019709620527,0.1457173137083111,0.09393063852439355,0.6565954100153625
39,4_leeftijd 2_leukocyten,0.016325243970797834,0.3728141865572645,0.20554323367219055,0.13249494306383383,0.9261682112739767
40,4_leeftijd 2_bloed_e,0.07662170532148074,1.530197414097472,0.8436420500916417,0.543818949406124,3.801411676411713
41,4_leeftijd 2_bloed_h,0.061514941996551865,1.2430536852324203,0.6853314152291783,0.4417705473363487,3.088071349431867
42,4_leeftijd 2_bloed_a,-0.01856368470204777,-0.18471448214462352,-0.10183843140920362,-0.06564593214871736,-0.45887921568673296
43,4_leeftijd 2_bloed_b_a,-0.057838873538576384,-0.5755149230867934,-0.3172980068441994,-0.20453303472951107,-1.429729999812931
